scope,path,target,link_type,basis,confidence,source,source_reference
common,/etc/login,/bin/login,hardlink,Zilog manual explicitly says /etc/login is linked to /bin/login,documented,03-3246-04_ZeusAdmin_Oct83.pdf,7-11 (PDF 102)
common,/usr/bin/nq,/usr/bin/lpr,hardlink,Zilog manual explicitly says nq and lpr are linked together,documented,03-3246-04_ZeusAdmin_Oct83.pdf,7-4 (PDF 95)
model-21-overlay,/dev/root,/dev/zd2,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/rroot,/dev/rzd2,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/rtmp,/dev/rzd3,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/rusr,/dev/rzd0,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/rz,/dev/rzd4,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/tmp,/dev/zd3,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/usr,/dev/zd0,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/dev/z,/dev/zd4,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-21-overlay,/zeus,/zeus2_Y.Z,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/root,/dev/smd2,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/rroot,/dev/rsmd2,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
